param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       1.704964e+01 2.735027e+01 1.969945e+02 3.961229e+01 1.777275e+02 2.067040e+02 2.086157e+02 7.985587e+02 4.084091e+02 8.400454e+02 1.082768e+03 1.086114e+03
  2 1.704964e+01      .       1.255843e+02 1.825373e+01 1.893404e+01 3.728668e+02 4.537136e+01 2.131968e+02 2.334045e+02 2.044635e+02 9.581795e+02 4.896465e+02 8.441260e+02
  3 2.735027e+01 1.255843e+02      .       4.664096e+02 3.136147e+01 8.661361e+00 2.351676e+02 4.007071e+01 9.828288e+02 2.344426e+02 2.095911e+02 8.620386e+02 4.571536e+02
  4 1.969945e+02 1.825373e+01 4.664096e+02      .       6.727647e+01 8.330554e+02 1.635513e+01 3.507976e+02 3.599550e+01 1.504128e+02 1.260806e+03 2.070717e+02 7.699387e+02
  5 3.961229e+01 1.893404e+01 3.136147e+01 6.727647e+01      .       8.040838e+01 1.343024e+01 1.887046e+01 1.929371e+02 3.281942e+01 2.420534e+02 2.061875e+02 2.221611e+02
  6 1.777275e+02 3.728668e+02 8.661361e+00 8.330554e+02 8.040838e+01      .       3.350287e+02 1.619149e+01 1.188606e+03 1.964670e+02 4.533470e+01 7.729439e+02 2.200513e+02
  7 2.067040e+02 4.537136e+01 2.351676e+02 1.635513e+01 1.343024e+01 3.350287e+02      .       7.194134e+01 2.148194e+01 1.071930e+01 4.104030e+02 4.137466e+01 1.872684e+02
  8 2.086157e+02 2.131968e+02 4.007071e+01 3.507976e+02 1.887046e+01 1.619149e+01 7.194134e+01      .       3.922588e+02 1.884132e+01 2.415284e+01 1.889439e+02 4.152775e+01
  9 7.985587e+02 2.334045e+02 9.828288e+02 3.599550e+01 1.929371e+02 1.188606e+03 2.148194e+01 3.922588e+02      .       7.295816e+01 1.051355e+03 2.159060e+01 3.926910e+02
 10 4.084091e+02 2.044635e+02 2.344426e+02 1.504128e+02 3.281942e+01 1.964670e+02 1.071930e+01 1.884132e+01 7.295816e+01      .       1.173050e+02 1.541494e+01 2.437149e+01
 11 8.400454e+02 9.581795e+02 2.095911e+02 1.260806e+03 2.420534e+02 4.533470e+01 4.104030e+02 2.415284e+01 1.051355e+03 1.173050e+02      .       4.071324e+02 2.248522e+01
 12 1.082768e+03 4.896465e+02 8.620386e+02 2.070717e+02 2.061875e+02 7.729439e+02 4.137466e+01 1.889439e+02 2.159060e+01 1.541494e+01 4.071324e+02      .       7.248777e+01
 13 1.086114e+03 8.441260e+02 4.571536e+02 7.699387e+02 2.221611e+02 2.200513e+02 1.872684e+02 4.152775e+01 3.926910e+02 2.437149e+01 2.248522e+01 7.248777e+01      .;
