param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       1.565154e+00 2.054918e+00 1.063617e+01 7.323520e+00 9.600588e+00 2.077059e+01 2.071021e+01 4.555077e+01 3.878842e+01 4.654863e+01 7.393262e+01 7.383144e+01
  2 1.565154e+00      .       2.282078e+00 2.258462e+00 2.105935e+00 6.851006e+00 8.057512e+00 1.100496e+01 2.253931e+01 2.066529e+01 3.114941e+01 4.417056e+01 4.819001e+01
  3 2.054918e+00 2.282078e+00      .       7.810373e+00 2.173084e+00 1.420947e+00 1.068787e+01 7.239003e+00 2.973166e+01 2.003072e+01 2.135858e+01 4.666736e+01 4.186873e+01
  4 1.063617e+01 2.258462e+00 7.810373e+00      .       1.458497e+00 8.794438e+00 1.603989e+00 6.215559e+00 6.831682e+00 8.354088e+00 2.006091e+01 2.041220e+01 2.709889e+01
  5 7.323520e+00 2.105935e+00 2.173084e+00 1.458497e+00      .       1.654681e+00 1.656008e+00 1.798395e+00 1.014059e+01 6.408738e+00 1.103298e+01 2.112266e+01 2.131589e+01
  6 9.600588e+00 6.851006e+00 1.420947e+00 8.794438e+00 1.654681e+00      .       6.411508e+00 1.839118e+00 2.014395e+01 9.731935e+00 7.981347e+00 2.857761e+01 2.186583e+01
  7 2.077059e+01 8.057512e+00 1.068787e+01 1.603989e+00 1.656008e+00 6.411508e+00      .       1.526067e+00 1.943441e+00 1.359352e+00 7.187610e+00 7.566953e+00 1.023899e+01
  8 2.071021e+01 1.100496e+01 7.239003e+00 6.215559e+00 1.798395e+00 1.839118e+00 1.526067e+00      .       6.935742e+00 1.618930e+00 2.109886e+00 1.035454e+01 7.586946e+00
  9 4.555077e+01 2.253931e+01 2.973166e+01 6.831682e+00 1.014059e+01 2.014395e+01 1.943441e+00 6.935742e+00      .       1.555467e+00 1.036556e+01 1.968674e+00 6.926798e+00
 10 3.878842e+01 2.066529e+01 2.003072e+01 8.354088e+00 6.408738e+00 9.731935e+00 1.359352e+00 1.618930e+00 1.555467e+00      .       2.187703e+00 2.100573e+00 2.340656e+00
 11 4.654863e+01 3.114941e+01 2.135858e+01 2.006091e+01 1.103298e+01 7.981347e+00 7.187610e+00 2.109886e+00 1.036556e+01 2.187703e+00      .       6.990012e+00 1.905043e+00
 12 7.393262e+01 4.417056e+01 4.666736e+01 2.041220e+01 2.112266e+01 2.857761e+01 7.566953e+00 1.035454e+01 1.968674e+00 2.100573e+00 6.990012e+00      .       1.534305e+00
 13 7.383144e+01 4.819001e+01 4.186873e+01 2.709889e+01 2.131589e+01 2.186583e+01 1.023899e+01 7.586946e+00 6.926798e+00 2.340656e+00 1.905043e+00 1.534305e+00      .;
