param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       3.050193e+00 4.573543e+00 2.484542e+01 6.282608e+00 2.274744e+01 2.589144e+01 2.609656e+01 8.246373e+01 4.641445e+01 8.612250e+01 1.070537e+02 1.073372e+02
  2 3.050193e+00      .       1.689113e+01 3.233925e+00 3.336963e+00 4.292995e+01 7.057813e+00 2.658699e+01 2.873289e+01 2.565070e+01 9.640450e+01 5.422320e+01 8.648097e+01
  3 4.573543e+00 1.689113e+01      .       5.200994e+01 5.142767e+00 1.706934e+00 2.891883e+01 6.344876e+00 9.852636e+01 2.884240e+01 2.620110e+01 8.805158e+01 5.112399e+01
  4 2.484542e+01 3.233925e+00 5.200994e+01      .       9.892620e+00 8.550789e+01 2.943380e+00 4.074258e+01 5.787600e+00 1.971585e+01 1.219747e+02 2.593091e+01 7.992390e+01
  5 6.282608e+00 3.336963e+00 5.142767e+00 9.892620e+00      .       1.152622e+01 2.485995e+00 3.327356e+00 2.440615e+01 5.347024e+00 2.964312e+01 2.583598e+01 2.754237e+01
  6 2.274744e+01 4.292995e+01 1.706934e+00 8.550789e+01 1.152622e+01      .       3.916764e+01 2.918119e+00 1.159626e+02 2.478838e+01 7.052924e+00 8.019123e+01 2.731801e+01
  7 2.589144e+01 7.057813e+00 2.891883e+01 2.943380e+00 2.485995e+00 3.916764e+01      .       1.047773e+01 3.718337e+00 2.049138e+00 4.660861e+01 6.521445e+00 2.379020e+01
  8 2.609656e+01 2.658699e+01 6.344876e+00 4.074258e+01 3.327356e+00 2.918119e+00 1.047773e+01      .       4.483671e+01 3.322951e+00 4.111239e+00 2.397253e+01 6.542121e+00
  9 8.246373e+01 2.873289e+01 9.852636e+01 5.787600e+00 2.440615e+01 1.159626e+02 3.718337e+00 4.483671e+01      .       1.060454e+01 1.043860e+02 3.734452e+00 4.487905e+01
 10 4.641445e+01 2.565070e+01 2.884240e+01 1.971585e+01 5.347024e+00 2.478838e+01 2.049138e+00 3.322951e+00 1.060454e+01      .       1.593204e+01 2.797739e+00 4.143120e+00
 11 8.612250e+01 9.640450e+01 2.620110e+01 1.219747e+02 2.964312e+01 7.052924e+00 4.660861e+01 4.111239e+00 1.043860e+02 1.593204e+01      .       4.629006e+01 3.866699e+00
 12 1.070537e+02 5.422320e+01 8.805158e+01 2.593091e+01 2.583598e+01 8.019123e+01 6.521445e+00 2.397253e+01 3.734452e+00 2.797739e+00 4.629006e+01      .       1.054591e+01
 13 1.073372e+02 8.648097e+01 5.112399e+01 7.992390e+01 2.754237e+01 2.731801e+01 2.379020e+01 6.542121e+00 4.487905e+01 4.143120e+00 3.866699e+00 1.054591e+01      .;
