param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13           14           15           16:=
  1      .       1.080112e+01 1.497454e+01 1.076818e+02 6.881195e+01 9.522641e+01 3.253743e+02 2.404022e+02 2.395639e+02 3.251154e+02 6.168717e+02 5.086775e+02 6.331233e+02 1.103071e+03 1.101259e+03 1.705216e+03
  2 1.080112e+01      .       1.698230e+01 1.677163e+01 1.542176e+01 6.351923e+01 1.017030e+02 7.716870e+01 1.121776e+02 2.351366e+02 2.651727e+02 2.389405e+02 3.909667e+02 5.945105e+02 6.600067e+02 1.051572e+03
  3 1.497454e+01 1.698230e+01      .       7.433718e+01 1.601370e+01 9.618192e+00 2.474144e+02 1.083102e+02 6.786010e+01 8.639667e+01 3.697116e+02 2.301632e+02 2.485918e+02 6.350616e+02 5.575293e+02 9.934872e+02
  4 1.076818e+02 1.677163e+01 7.433718e+01      .       9.924002e+00 8.571359e+01 9.976208e+00 1.112350e+01 5.651663e+01 2.086092e+02 6.330430e+01 8.058957e+01 2.305795e+02 2.354332e+02 3.307819e+02 5.317107e+02
  5 6.881195e+01 1.542176e+01 1.601370e+01 9.924002e+00      .       1.154668e+01 6.120252e+01 1.155779e+01 1.276034e+01 6.305288e+01 1.016894e+02 5.863096e+01 1.125205e+02 2.453005e+02 2.479957e+02 4.842166e+02
  6 9.522641e+01 6.351923e+01 9.618192e+00 8.571359e+01 1.154668e+01      .       2.238079e+02 5.866138e+01 1.310785e+01 1.239816e+01 2.317253e+02 9.679191e+01 7.629419e+01 3.525585e+02 2.556931e+02 5.483588e+02
  7 3.253743e+02 1.017030e+02 2.474144e+02 9.976208e+00 6.120252e+01 2.238079e+02      .       1.630236e+01 1.049379e+02 3.500361e+02 1.882262e+01 6.758595e+01 2.681787e+02 1.312771e+02 2.683541e+02 3.671412e+02
  8 2.404022e+02 7.716870e+01 1.083102e+02 1.112350e+01 1.155779e+01 5.866138e+01 1.630236e+01      .       1.047824e+01 9.286105e+01 1.400508e+01 9.120071e+00 6.728239e+01 7.156575e+01 1.028747e+02 2.111903e+02
  9 2.395639e+02 1.121776e+02 6.786010e+01 5.651663e+01 1.276034e+01 1.310785e+01 1.049379e+02 1.047824e+01      .       1.285203e+01 6.446315e+01 1.124796e+01 1.545649e+01 1.042694e+02 7.179272e+01 2.063912e+02
 10 3.251154e+02 2.351366e+02 8.639667e+01 2.086092e+02 6.305288e+01 1.239816e+01 3.500361e+02 9.286105e+01 1.285203e+01      .       2.365927e+02 6.928947e+01 1.616625e+01 2.456884e+02 1.182813e+02 3.187605e+02
 11 6.168717e+02 2.651727e+02 3.697116e+02 6.330430e+01 1.016894e+02 2.317253e+02 1.882262e+01 1.400508e+01 6.446315e+01 2.365927e+02      .       1.072094e+01 1.044026e+02 1.422357e+01 6.436341e+01 9.150100e+01
 12 5.086775e+02 2.389405e+02 2.301632e+02 8.058957e+01 5.863096e+01 9.679191e+01 6.758595e+01 9.120071e+00 1.124796e+01 6.928947e+01 1.072094e+01      .       1.614307e+01 1.537466e+01 1.750673e+01 6.281314e+01
 13 6.331233e+02 3.909667e+02 2.485918e+02 2.305795e+02 1.125205e+02 7.629419e+01 2.681787e+02 6.728239e+01 1.545649e+01 1.616625e+01 1.044026e+02 1.614307e+01      .       6.506891e+01 1.367369e+01 8.017432e+01
 14 1.103071e+03 5.945105e+02 6.350616e+02 2.354332e+02 2.453005e+02 3.525585e+02 1.312771e+02 7.156575e+01 1.042694e+02 2.456884e+02 1.422357e+01 1.537466e+01 6.506891e+01      .       1.054615e+01 9.130239e+00
 15 1.101259e+03 6.600067e+02 5.575293e+02 3.307819e+02 2.479957e+02 2.556931e+02 2.683541e+02 1.028747e+02 7.179272e+01 1.182813e+02 6.436341e+01 1.750673e+01 1.367369e+01 1.054615e+01      .       7.104573e+00
 16 1.705216e+03 1.051572e+03 9.934872e+02 5.317107e+02 4.842166e+02 5.483588e+02 3.671412e+02 2.111903e+02 2.063912e+02 3.187605e+02 9.150100e+01 6.281314e+01 8.017432e+01 9.130239e+00 7.104573e+00      .;
