param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13           14           15           16:=
  1      .       5.143888e+02 7.951908e+02 1.103714e+04 6.075077e+03 9.368640e+03 4.821451e+04 3.220461e+04 3.205496e+04 4.816335e+04 1.131340e+05 8.748294e+04 1.171254e+05 2.455488e+05 2.450113e+05 4.389070e+05
  2 5.143888e+02      .       9.404347e+02 9.249121e+02 8.270122e+02 5.460180e+03 1.022771e+04 7.078179e+03 1.165578e+04 3.126754e+04 3.670330e+04 3.194379e+04 6.159134e+04 1.076993e+05 1.238030e+05 2.303839e+05
  3 7.951908e+02 9.404347e+02      .       6.734026e+03 8.696057e+02 4.406813e+02 3.346313e+04 1.112310e+04 5.963291e+03 8.228664e+03 5.716770e+04 3.038886e+04 3.367563e+04 1.176037e+05 9.886069e+04 2.135746e+05
  4 1.103714e+04 9.249121e+02 6.734026e+03      .       4.594615e+02 8.142035e+03 4.626870e+02 5.349609e+02 4.672705e+03 2.665496e+04 5.435560e+03 7.499606e+03 3.046218e+04 3.132013e+04 4.928586e+04 9.280411e+04
  5 6.075077e+03 8.270122e+02 8.696057e+02 4.594615e+02      .       5.622675e+02 5.196279e+03 5.629890e+02 6.424159e+02 5.406795e+03 1.022589e+04 4.907226e+03 1.170331e+04 3.308247e+04 3.356801e+04 8.191930e+04
  6 9.368640e+03 5.460180e+03 4.406813e+02 8.142035e+03 5.622675e+02      .       2.927524e+04 4.910620e+03 6.658486e+02 6.182201e+02 3.066418e+04 9.574558e+03 6.971431e+03 5.365887e+04 3.496435e+04 9.669851e+04
  7 4.821451e+04 1.022771e+04 3.346313e+04 4.626870e+02 5.196279e+03 2.927524e+04      .       8.905686e+02 1.066375e+04 5.314762e+04 1.078715e+03 5.931191e+03 3.725910e+04 1.437426e+04 3.729159e+04 5.663839e+04
  8 3.220461e+04 7.078179e+03 1.112310e+04 5.349609e+02 5.629890e+02 4.910620e+03 8.905686e+02      .       4.939897e+02 9.059651e+03 7.273007e+02 4.105168e+02 5.895698e+03 6.401380e+03 1.038512e+04 2.709559e+04
  9 3.205496e+04 1.165578e+04 5.963291e+03 4.672705e+03 6.424159e+02 6.658486e+02 1.066375e+04 4.939897e+02      .       6.485784e+02 5.568634e+03 5.429564e+02 8.294963e+02 1.057327e+04 6.428464e+03 2.627775e+04
 10 4.816335e+04 3.126754e+04 8.228664e+03 2.665496e+04 5.406795e+03 6.182201e+02 5.314762e+04 9.059651e+03 6.485784e+02      .       3.152597e+04 6.131352e+03 8.806681e+02 3.315224e+04 1.250897e+04 4.691222e+04
 11 1.131340e+05 3.670330e+04 5.716770e+04 5.435560e+03 1.022589e+04 3.066418e+04 1.078715e+03 7.273007e+02 5.568634e+03 3.152597e+04      .       5.093042e+02 1.059128e+04 7.424684e+02 5.557149e+03 8.883166e+03
 12 8.748294e+04 3.194379e+04 3.038886e+04 7.499606e+03 4.907226e+03 9.574558e+03 5.931191e+03 4.105168e+02 5.429564e+02 6.131352e+03 5.093042e+02      .       8.789848e+02 8.236459e+02 9.793550e+02 5.379402e+03
 13 1.171254e+05 6.159134e+04 3.367563e+04 3.046218e+04 1.170331e+04 6.971431e+03 3.725910e+04 5.895698e+03 8.294963e+02 8.806681e+02 1.059128e+04 8.789848e+02      .       5.638515e+03 7.044457e+02 7.448126e+03
 14 2.455488e+05 1.076993e+05 1.176037e+05 3.132013e+04 3.308247e+04 5.365887e+04 1.437426e+04 6.401380e+03 1.057327e+04 3.315224e+04 7.424684e+02 8.236459e+02 5.638515e+03      .       4.982629e+02 4.111272e+02
 15 2.450113e+05 1.238030e+05 9.886069e+04 4.928586e+04 3.356801e+04 3.496435e+04 3.729159e+04 1.038512e+04 6.428464e+03 1.250897e+04 5.557149e+03 9.793550e+02 7.044457e+02 4.982629e+02      .       2.942506e+02
 16 4.389070e+05 2.303839e+05 2.135746e+05 9.280411e+04 8.191930e+04 9.669851e+04 5.663839e+04 2.709559e+04 2.627775e+04 4.691222e+04 8.883166e+03 5.379402e+03 7.448126e+03 4.111272e+02 2.942506e+02      .;
