param et[*,*]:
         1            2            3            4            5            6            7            8            9            10           11           12           13:=
  1      .       9.530222e+01 1.635575e+02 1.561931e+03 2.497583e+02 1.388599e+03 1.650219e+03 1.667673e+03 7.733047e+03 3.593665e+03 8.193866e+03 1.095138e+04 1.099006e+04
  2 9.530222e+01      .       9.337093e+02 1.030323e+02 1.074324e+02 3.238524e+03 2.916712e+02 1.709591e+03 1.896003e+03 1.629792e+03 9.523496e+03 4.421607e+03 8.239371e+03
  3 1.635575e+02 9.337093e+02      .       4.182621e+03 1.912475e+02 4.394967e+01 1.912380e+03 2.530643e+02 9.803999e+03 1.905644e+03 1.676587e+03 8.439490e+03 4.087894e+03
  4 1.561931e+03 1.030323e+02 4.182621e+03      .       4.575253e+02 8.115991e+03 9.087863e+01 3.020402e+03 2.238711e+02 1.147503e+03 1.303246e+04 1.653574e+03 7.417125e+03
  5 2.497583e+02 1.074324e+02 1.912475e+02 4.575253e+02      .       5.609392e+02 7.255494e+01 1.070202e+02 1.525220e+03 2.014418e+02 1.976508e+03 1.645508e+03 1.791988e+03
  6 1.388599e+03 3.238524e+03 4.394967e+01 8.115991e+03 5.609392e+02      .       2.865738e+03 8.984018e+01 1.218309e+04 1.557152e+03 2.914018e+02 7.450221e+03 1.772551e+03
  7 1.650219e+03 2.916712e+02 1.912380e+03 9.087863e+01 7.255494e+01 2.865738e+03      .       4.939577e+02 1.241076e+02 5.607401e+01 3.613723e+03 2.624975e+02 1.474113e+03
  8 1.667673e+03 1.709591e+03 2.530643e+02 3.020402e+03 1.070202e+02 8.984018e+01 4.939577e+02      .       3.431718e+03 1.068313e+02 1.418939e+02 1.489196e+03 2.636077e+02
  9 7.733047e+03 1.896003e+03 9.803999e+03 2.238711e+02 1.525220e+03 1.218309e+04 1.241076e+02 3.431718e+03      .       5.019447e+02 1.058904e+04 1.248253e+02 3.436040e+03
 10 3.593665e+03 1.629792e+03 1.905644e+03 1.147503e+03 2.014418e+02 1.557152e+03 5.607401e+01 1.068313e+02 5.019447e+02      .       8.636977e+02 8.493297e+01 1.433629e+02
 11 8.193866e+03 9.523496e+03 1.676587e+03 1.303246e+04 1.976508e+03 2.914018e+02 3.613723e+03 1.418939e+02 1.058904e+04 8.636977e+02      .       3.580829e+03 1.307536e+02
 12 1.095138e+04 4.421607e+03 8.439490e+03 1.653574e+03 1.645508e+03 7.450221e+03 2.624975e+02 1.489196e+03 1.248253e+02 8.493297e+01 3.580829e+03      .       4.982478e+02
 13 1.099006e+04 8.239371e+03 4.087894e+03 7.417125e+03 1.791988e+03 1.772551e+03 1.474113e+03 2.636077e+02 3.436040e+03 1.433629e+02 1.307536e+02 4.982478e+02      .;
